,precision,recall,f1-score,support
stairs,0.9354838709677419,0.7631578947368421,0.8405797101449276,38.0
stay,0.7073170731707317,0.7837837837837838,0.7435897435897435,37.0
sticky,0.7272727272727273,0.7058823529411765,0.7164179104477613,34.0
store,0.8974358974358975,0.9210526315789473,0.9090909090909091,38.0
story,0.7941176470588235,0.7297297297297297,0.7605633802816901,37.0
stuck,0.9090909090909091,0.9090909090909091,0.9090909090909091,33.0
sun,0.8157894736842105,0.7948717948717948,0.8051948051948051,39.0
table,0.7105263157894737,0.8181818181818182,0.7605633802816901,33.0
talk,0.85,0.8717948717948718,0.8607594936708861,39.0
taste,0.7857142857142857,0.8461538461538461,0.8148148148148148,39.0
thankyou,0.7804878048780488,0.9142857142857143,0.8421052631578947,35.0
that,0.8055555555555556,0.7631578947368421,0.7837837837837838,38.0
there,0.6551724137931034,0.5277777777777778,0.5846153846153845,36.0
think,0.7555555555555555,0.8717948717948718,0.8095238095238095,39.0
thirsty,0.85,0.9444444444444444,0.8947368421052632,36.0
tiger,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
time,0.717948717948718,0.7567567567567568,0.736842105263158,37.0
tomorrow,0.9230769230769231,0.9230769230769231,0.9230769230769231,39.0
tongue,0.7894736842105263,0.8333333333333334,0.8108108108108109,36.0
tooth,0.7631578947368421,0.7435897435897436,0.7532467532467534,39.0
toothbrush,0.7906976744186046,0.8717948717948718,0.8292682926829267,39.0
touch,0.9,0.7297297297297297,0.8059701492537312,37.0
toy,0.8918918918918919,0.8918918918918919,0.8918918918918919,37.0
tree,0.6842105263157895,0.6842105263157895,0.6842105263157895,38.0
uncle,0.9302325581395349,1.0,0.963855421686747,40.0
underwear,0.8333333333333334,0.8108108108108109,0.8219178082191781,37.0
up,0.90625,0.7435897435897436,0.8169014084507042,39.0
vacuum,0.5714285714285714,0.7741935483870968,0.6575342465753424,31.0
wait,0.5897435897435898,0.6571428571428571,0.6216216216216216,35.0
wake,0.5,0.55,0.5238095238095238,40.0
water,0.9736842105263158,0.9487179487179487,0.9610389610389611,39.0
wet,0.6944444444444444,0.6944444444444444,0.6944444444444444,36.0
weus,0.8,0.7567567567567568,0.7777777777777778,37.0
where,0.9459459459459459,0.9459459459459459,0.9459459459459459,37.0
white,0.8157894736842105,0.8378378378378378,0.8266666666666665,37.0
who,1.0,0.8536585365853658,0.9210526315789475,41.0
why,0.8421052631578947,0.9142857142857143,0.8767123287671234,35.0
will,0.8709677419354839,0.7297297297297297,0.7941176470588235,37.0
wolf,0.868421052631579,0.868421052631579,0.868421052631579,38.0
yellow,0.8809523809523809,0.9736842105263158,0.925,38.0
yes,0.7380952380952381,0.8157894736842105,0.775,38.0
yesterday,0.9166666666666666,0.825,0.8684210526315789,40.0
yourself,0.8,0.9230769230769231,0.8571428571428571,39.0
yucky,0.7619047619047619,0.8648648648648649,0.810126582278481,37.0
zebra,0.8222222222222222,0.9736842105263158,0.891566265060241,38.0
zipper,0.6486486486486487,0.8,0.7164179104477612,30.0
accuracy,0.8162457191780822,0.8162457191780822,0.8162457191780822,0.8162457191780822
macro avg,0.8188924670620422,0.8148889610095457,0.8139584992531226,9344.0
weighted avg,0.8217247021047156,0.8162457191780822,0.8161056319546134,9344.0
